iter	Passed	Remaining
0	47	47385
1	48	23997
2	48	16196
3	49	12283
4	49	9928
5	50	8369
6	51	7249
7	51	6405
8	52	5751
9	52	5236
10	53	4805
11	53	4441
12	54	4139
13	55	3878
14	55	3650
15	56	3450
16	56	3273
17	57	3117
18	57	2976
19	58	2851
20	58	2737
21	59	2634
22	59	2539
23	60	2451
24	60	2369
25	61	2293
26	61	2222
27	62	2157
28	62	2097
29	63	2042
30	63	1989
31	64	1940
32	64	1894
33	65	1868
34	66	1827
35	66	1788
36	67	1751
37	67	1715
38	68	1681
39	68	1649
40	69	1619
41	69	1590
42	70	1562
43	70	1537
44	71	1511
45	71	1487
46	72	1464
47	72	1442
48	73	1421
49	73	1400
50	74	1380
51	74	1361
52	75	1342
53	75	1324
54	76	1308
55	76	1292
56	77	1276
57	77	1262
58	78	1247
59	78	1233
60	79	1220
61	79	1207
62	80	1194
63	80	1182
64	81	1171
65	81	1159
66	82	1148
67	82	1137
68	83	1126
69	84	1116
70	84	1106
71	85	1096
72	85	1086
73	86	1077
74	86	1068
75	87	1059
76	88	1058
77	88	1050
78	89	1042
79	89	1034
80	90	1026
81	90	1018
82	91	1008
83	91	1000
84	92	993
85	92	986
86	93	980
87	93	973
88	94	966
89	95	960
90	95	955
91	96	949
92	96	943
93	97	938
94	97	932
95	98	926
96	98	920
97	99	915
98	100	910
99	100	905
100	101	900
101	101	895
102	102	890
103	102	885
104	103	881
105	103	876
106	104	871
107	104	866
108	105	861
109	105	857
110	106	853
111	107	848
112	107	844
113	108	840
114	108	835
115	109	831
116	109	826
117	110	822
118	110	819
119	111	815
120	111	811
121	112	806
122	112	802
123	113	799
124	113	795
125	114	792
126	114	787
127	115	784
128	115	781
129	116	778
130	116	775
131	117	771
132	117	768
133	118	765
134	118	761
135	119	758
136	119	755
137	120	753
138	121	749
139	121	747
140	122	744
141	122	740
142	123	738
143	123	735
144	124	732
145	124	730
146	125	727
147	125	724
148	126	722
149	127	719
150	127	717
151	128	715
152	128	712
153	129	710
154	129	708
155	130	705
156	130	702
157	131	700
158	131	697
159	132	695
160	132	691
161	133	689
162	133	687
163	134	684
164	134	682
165	135	681
166	136	678
167	136	676
168	137	674
169	137	672
170	138	670
171	138	668
172	139	666
173	139	664
174	140	662
175	141	660
176	141	658
177	142	656
178	142	654
179	143	652
180	143	650
181	144	648
182	144	646
183	145	644
184	145	642
185	146	640
186	147	639
187	147	638
188	148	636
189	148	634
190	149	632
191	149	631
192	150	629
193	151	627
194	151	625
195	152	623
196	152	622
197	153	620
198	153	619
199	154	617
200	154	615
201	155	614
202	155	612
203	156	610
204	156	608
205	157	606
206	157	605
207	158	603
208	159	602
209	159	601
210	160	599
211	160	598
212	161	596
213	162	595
214	162	593
215	163	591
216	163	590
217	164	588
218	164	587
219	165	585
220	165	584
221	166	582
222	166	581
223	167	580
224	167	578
225	168	577
226	169	575
227	169	573
228	170	572
229	170	570
230	170	569
231	171	568
232	172	566
233	172	565
234	173	563
235	173	562
236	174	561
237	174	559
238	175	558
239	175	556
240	176	555
241	176	554
242	177	552
243	178	552
244	178	551
245	179	549
246	179	548
247	180	547
248	181	546
249	181	544
250	182	543
251	182	542
252	183	540
253	183	539
254	184	538
255	184	537
256	185	536
257	186	535
258	186	534
259	187	532
260	187	531
261	188	530
262	188	528
263	189	527
264	189	526
265	190	524
266	190	523
267	191	522
268	191	520
269	192	519
270	192	518
271	193	517
272	193	516
273	194	514
274	194	513
275	195	512
276	195	511
277	196	510
278	197	509
279	197	508
280	198	506
281	198	505
282	199	504
283	199	503
284	200	502
285	200	500
286	201	499
287	201	498
288	202	497
289	202	496
290	203	494
291	203	494
292	204	493
293	204	492
294	205	491
295	206	490
296	206	488
297	207	487
298	207	486
299	208	485
300	208	484
301	209	483
302	209	482
303	210	481
304	210	480
305	211	479
306	212	478
307	212	477
308	213	476
309	213	475
310	214	474
311	214	473
312	215	472
313	215	471
314	216	470
315	216	469
316	217	468
317	218	467
318	218	466
319	219	465
320	219	464
321	220	463
322	220	462
323	221	461
324	221	460
325	222	459
326	222	458
327	223	457
328	223	456
329	224	455
330	224	454
331	225	453
332	225	452
333	226	451
334	226	450
335	227	449
336	227	448
337	228	447
338	229	446
339	229	445
340	230	444
341	230	443
342	231	442
343	231	441
344	232	441
345	232	439
346	233	438
347	233	437
348	234	436
349	234	435
350	235	435
351	235	434
352	236	433
353	236	432
354	237	431
355	237	430
356	238	429
357	238	428
358	239	427
359	239	426
360	240	425
361	240	424
362	241	423
363	242	422
364	242	421
365	243	421
366	243	420
367	244	419
368	244	418
369	245	417
370	245	416
371	246	415
372	246	414
373	247	413
374	248	413
375	248	412
376	249	411
377	249	410
378	250	410
379	250	409
380	251	408
381	251	407
